SAMPLE_ID,PROJECT,Library Source,Instrument Platform,Instrument Model,Library Layout,Library Strategy,,host,Reference (PMID),comment,
ERR10550027,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_4h_C,aligned
ERR10550028,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_6h_A,aligned
ERR10550029,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_6h_B,aligned
ERR10550030,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_6h_C,aligned
ERR10550031,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_24h_A,aligned
ERR10550032,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_24h_B,aligned
ERR10550033,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_24h_C,aligned
ERR10963107,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_1h_A,aligned
ERR10963108,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_1h_B,aligned
ERR10963109,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_1h_C,aligned
ERR10963110,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_2h_A,aligned
ERR10963111,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_2h_B,aligned
ERR10963112,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_2h_C,aligned
ERR10963113,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_4h_A,aligned
ERR10963114,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_4h_B,aligned
ERR10963115,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_4h_C,aligned
ERR10963116,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_6h_A,aligned
ERR10963117,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_6h_B,aligned
ERR10963118,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_6h_C,aligned
ERR10963119,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_12h_A,aligned
ERR10963120,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_12h_B,aligned
ERR10963121,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_12h_C,aligned
ERR10963122,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_24h_A,aligned
ERR10963123,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_24h_B,aligned
ERR10963124,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_24h_C,aligned
ERR10963128,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,ssRNA-seq,dRNA-seq,monkey+MPXV,37160911,MPOX_inf_mix,aligned
ERR11026612,PRJEB60728,TRANSCRIPTOMIC,ILLUMINA,NextSeq 500,PAIRED,RNA-Seq,cDNA,human+MPXV,39117661,HFF-12h-MPXV-TR2-BR2,
ERR11026613,PRJEB60728,TRANSCRIPTOMIC,ILLUMINA,NextSeq 500,PAIRED,RNA-Seq,cDNA,human+MPXV,39117661,HFF-6h-MPXV-TR2-BR2,
ERR11026615,PRJEB60728,TRANSCRIPTOMIC,ILLUMINA,NextSeq 500,PAIRED,RNA-Seq,cDNA,human+MPXV,39117661,HFF-12h-MPXV-TR2-BR1,
ERR11026616,PRJEB60728,TRANSCRIPTOMIC,ILLUMINA,NextSeq 500,PAIRED,RNA-Seq,cDNA,human+MPXV,39117661,HFF-24h-MPXV-TR2-BR3,
ERR11026617,PRJEB60728,TRANSCRIPTOMIC,ILLUMINA,NextSeq 500,PAIRED,RNA-Seq,cDNA,human+MPXV,39117661,HFF-12h-MPXV-TR2-BR3,
ERR11026625,PRJEB60728,TRANSCRIPTOMIC,ILLUMINA,NextSeq 500,PAIRED,RNA-Seq,cDNA,human+MPXV,39117661,HFF-24h-MPXV-TR2-BR4,
ERR11026630,PRJEB60728,TRANSCRIPTOMIC,ILLUMINA,NextSeq 500,PAIRED,RNA-Seq,cDNA,human+MPXV,39117661,HFF-12h-MPXV-TR2-BR4,
ERR11026631,PRJEB60728,TRANSCRIPTOMIC,ILLUMINA,NextSeq 500,PAIRED,RNA-Seq,cDNA,human+MPXV,39117661,HFF-6h-MPXV-TR2-BR3,
ERR11026635,PRJEB60728,TRANSCRIPTOMIC,ILLUMINA,NextSeq 500,PAIRED,RNA-Seq,cDNA,human+MPXV,39117661,HFF-24h-MPXV-TR2-BR1,
ERR11026636,PRJEB60728,TRANSCRIPTOMIC,ILLUMINA,NextSeq 500,PAIRED,RNA-Seq,cDNA,human+MPXV,39117661,HFF-6h-MPXV-TR2-BR1,
ERR11026637,PRJEB60728,TRANSCRIPTOMIC,ILLUMINA,NextSeq 500,PAIRED,RNA-Seq,cDNA,human+MPXV,39117661,HFF-24h-MPXV-TR2-BR2,
ERR11026638,PRJEB60728,TRANSCRIPTOMIC,ILLUMINA,NextSeq 500,PAIRED,RNA-Seq,cDNA,human+MPXV,39117661,HFF-6h-MPXV-TR2-BR4,
ERR11030164,PRJEB60728,TRANSCRIPTOMIC,ILLUMINA,NextSeq 500,PAIRED,RNA-Seq,cDNA,human+MPXV,39117661,HFF-12h-MPXV-TR1-BR2,
ERR11030165,PRJEB60728,TRANSCRIPTOMIC,ILLUMINA,NextSeq 500,PAIRED,RNA-Seq,cDNA,human+MPXV,39117661,HFF-6h-MPXV-TR1-BR2,
ERR11030167,PRJEB60728,TRANSCRIPTOMIC,ILLUMINA,NextSeq 500,PAIRED,RNA-Seq,cDNA,human+MPXV,39117661,HFF-12h-MPXV-TR1-BR1,
ERR11030168,PRJEB60728,TRANSCRIPTOMIC,ILLUMINA,NextSeq 500,PAIRED,RNA-Seq,cDNA,human+MPXV,39117661,HFF-24h-MPXV-TR1-BR3,
ERR11030169,PRJEB60728,TRANSCRIPTOMIC,ILLUMINA,NextSeq 500,PAIRED,RNA-Seq,cDNA,human+MPXV,39117661,HFF-12h-MPXV-TR1-BR3,
ERR11030177,PRJEB60728,TRANSCRIPTOMIC,ILLUMINA,NextSeq 500,PAIRED,RNA-Seq,cDNA,human+MPXV,39117661,HFF-24h-MPXV-TR1-BR4,
ERR11030182,PRJEB60728,TRANSCRIPTOMIC,ILLUMINA,NextSeq 500,PAIRED,RNA-Seq,cDNA,human+MPXV,39117661,HFF-12h-MPXV-TR1-BR4,
ERR11030183,PRJEB60728,TRANSCRIPTOMIC,ILLUMINA,NextSeq 500,PAIRED,RNA-Seq,cDNA,human+MPXV,39117661,HFF-6h-MPXV-TR1-BR3,
ERR11030187,PRJEB60728,TRANSCRIPTOMIC,ILLUMINA,NextSeq 500,PAIRED,RNA-Seq,cDNA,human+MPXV,39117661,HFF-24h-MPXV-TR1-BR1,
ERR11030188,PRJEB60728,TRANSCRIPTOMIC,ILLUMINA,NextSeq 500,PAIRED,RNA-Seq,cDNA,human+MPXV,39117661,HFF-6h-MPXV-TR1-BR1,
ERR11030189,PRJEB60728,TRANSCRIPTOMIC,ILLUMINA,NextSeq 500,PAIRED,RNA-Seq,cDNA,human+MPXV,39117661,HFF-24h-MPXV-TR1-BR2,
ERR11030190,PRJEB60728,TRANSCRIPTOMIC,ILLUMINA,NextSeq 500,PAIRED,RNA-Seq,cDNA,human+MPXV,39117661,HFF-6h-MPXV-TR1-BR4,
SRR22450503,PRJNA906618,TRANSCRIPTOMIC,ILLUMINA,NextSeq 550,SINGLE,RNA-Seq,cDNA,human+MPXV,37278443,,
SRR22450504,PRJNA906618,TRANSCRIPTOMIC,ILLUMINA,NextSeq 550,SINGLE,RNA-Seq,cDNA,human+MPXV,37278443,,
SRR22450505,PRJNA906618,TRANSCRIPTOMIC,ILLUMINA,NextSeq 550,SINGLE,RNA-Seq,cDNA,human+MPXV,37278443,,
SRR22450506,PRJNA906618,TRANSCRIPTOMIC,ILLUMINA,NextSeq 550,SINGLE,RNA-Seq,cDNA,human+MPXV,37278443,,
SRR22450507,PRJNA906618,TRANSCRIPTOMIC,ILLUMINA,NextSeq 550,SINGLE,RNA-Seq,cDNA,human+MPXV,37278443,,
SRR22450508,PRJNA906618,TRANSCRIPTOMIC,ILLUMINA,NextSeq 550,SINGLE,RNA-Seq,cDNA,human+MPXV,37278443,,
SRR22450509,PRJNA906618,TRANSCRIPTOMIC,ILLUMINA,NextSeq 550,SINGLE,RNA-Seq,cDNA,human+MPXV,37278443,,
SRR22450510,PRJNA906618,TRANSCRIPTOMIC,ILLUMINA,NextSeq 550,SINGLE,RNA-Seq,cDNA,human+MPXV,37278443,,
SRR22450511,PRJNA906618,TRANSCRIPTOMIC,ILLUMINA,NextSeq 550,SINGLE,RNA-Seq,cDNA,human+MPXV,37278443,,
SRR22450515,PRJNA906618,TRANSCRIPTOMIC,ILLUMINA,NextSeq 550,SINGLE,RNA-Seq,cDNA,human+MPXV,37278443,,
SRR22450516,PRJNA906618,TRANSCRIPTOMIC,ILLUMINA,NextSeq 550,SINGLE,RNA-Seq,cDNA,human+MPXV,37278443,,
SRR22450517,PRJNA906618,TRANSCRIPTOMIC,ILLUMINA,NextSeq 550,SINGLE,RNA-Seq,cDNA,human+MPXV,37278443,,
SRR22450518,PRJNA906618,TRANSCRIPTOMIC,ILLUMINA,NextSeq 550,SINGLE,RNA-Seq,cDNA,human+MPXV,37278443,,
SRR22450519,PRJNA906618,TRANSCRIPTOMIC,ILLUMINA,NextSeq 550,SINGLE,RNA-Seq,cDNA,human+MPXV,37278443,,
SRR22450520,PRJNA906618,TRANSCRIPTOMIC,ILLUMINA,NextSeq 550,SINGLE,RNA-Seq,cDNA,human+MPXV,37278443,,
SRR22450521,PRJNA906618,TRANSCRIPTOMIC,ILLUMINA,NextSeq 550,SINGLE,RNA-Seq,cDNA,human+MPXV,37278443,,
SRR22450522,PRJNA906618,TRANSCRIPTOMIC,ILLUMINA,NextSeq 550,SINGLE,RNA-Seq,cDNA,human+MPXV,37278443,,
SRR22450523,PRJNA906618,TRANSCRIPTOMIC,ILLUMINA,NextSeq 550,SINGLE,RNA-Seq,cDNA,human+MPXV,37278443,,
SRR20822096,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR20822097,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR20822098,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR20822099,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR20822103,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21143277,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21143278,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21143284,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21143288,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21426165,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21426166,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21426170,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21426172,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21426175,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21426177,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21426179,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21426181,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21426183,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21426188,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR20822102,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21426190,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21143275,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21426193,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21143276,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21426197,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21143279,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21426198,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21143280,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21459595,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21143281,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21528257,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21143283,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21143285,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21143287,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21528260,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21143289,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21528261,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21143290,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21426167,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21426168,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21528264,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21426169,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21528267,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21426173,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21528268,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21426180,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21528269,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21426182,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21528270,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21426185,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21528278,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21426186,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21426191,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21528280,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21426192,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21719651,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21426194,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21719655,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21719656,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21528259,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21719661,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21528263,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21719662,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21528272,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21719665,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21528274,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21719673,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21528276,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21719681,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21528277,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21528279,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21719683,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21528281,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21719688,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21528282,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21719692,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21528283,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21719693,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21528284,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21719698,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21528285,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21719700,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21528286,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21528287,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21719650,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21719652,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21719659,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
SRR21719666,PRJNA864832,TRANSCRIPTOMIC,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,,human+MPXV,-,,
